Id,Title,Author
27765,Mormon Scientist: The Life and Faith of Henry Eyring,Henry J. Eyring
27766,The Seduction of Christianity,Dave Hunt
27767,The Reluctant Buddhist,William Woollard
27768,Ancient Art And Ritual,Jane Ellen Harrison
27769,Last Days Madness: Obsession of the Modern Church,Gary DeMar
27770,Young Woman Personal Progress,The Church of Jesus Christ of Latter-day Saints
27771,"Fire Within: Teresa of Avila, John of the Cross and the Gospel - On Prayer",Thomas Dubay
27772,A Closer Walk,Catherine Marshall
27773,Who Calls Me Beautiful?: Finding Our True Image in the Mirror of God,Regina Franklin
27774,Sparkling Gems from the Greek: 365 Greek Word Studies for Every Day of the Year to Sharpen Your Understanding of God's Word,Rick Renner
27775,"The Golden Bough: A Study in Magic and Religion (The Golden Bough, #1)",James George Frazer
27776,Children's Songbook,The Church of Jesus Christ of Latter-day Saints
27777,Rich Mullins: Home,Rich Mullins
27778,My Way: The Way of the White Clouds,Osho
27779,How to Hear from God: Learn to Know His Voice and Make Right Decisions,Joyce Meyer
27780,Everyday Justice: The Global Impact of Our Daily Choices,Julie Clawson
27781,Adventures in Prayer,Catherine Marshall
27782,Edgar Cayce: An American Prophet,Sidney D. Kirkpatrick
27783,Home-Making,J.R.    Miller
27784,Reforming Marriage,Douglas Wilson
27785,Medicine Cards: The Discovery of Power Through the Ways of Animals,Jamie Sams
27786,Mortality,Christopher Hitchens
27787,Centering Prayer and Inner Awakening,Cynthia Bourgeault
27788,A Christian Manifesto,Francis A. Schaeffer
27789,Meeting God at Every Turn,Catherine Marshall
27790,Edgar Cayce's Story of Jesus,Jeffrey Furst
27791,A Conquering Faith: Doctrinal Foundations for Christian Reformation,William O. Einwechter
27792,Myth and Meaning: Cracking the Code of Culture,Claude LÃ©vi-Strauss
27793,The Art of Peace,Morihei Ueshiba
27794,Footprints Of A Pilgrim,Ruth Bell Graham
27795,The Heart Sutra,Red Pine
27796,Strange Fire: The Danger of Offending the Holy Spirit with Counterfeit Worship,John F. MacArthur Jr.
27797,The God Who Is There,Francis A. Schaeffer
27798,God Speaks,Meher Baba
27799,Mary Magdalen: Myth and Metaphor,Susan Haskins
27800,The Helper,Catherine Marshall
27801,"A Thousand Lives: The Untold Story of Hope, Deception, and Survival at Jonestown",Julia Scheeres
27802,When God Whispers Your Name,Max Lucado
27803,Lies Young Women Believe Companion Guide: And the Truth That Sets Them Free,Nancy Leigh DeMoss
27804,The Jesus Touch,Lynn Anderson
27805,A Dispensational Theology,Charles F. Baker
27806,Abu Bakar as-Siddiq (R.A),Darussalam
27807,He Shall Have Dominion: A Postmillennial Eschatology,Kenneth L. Gentry Jr.
27808,The Quran and Modern Science,Zakir Naik
27809,Black Flags: The Rise of ISIS,Joby Warrick
27810,Crystal Therapy: How to Heal and Empower Your Life with Crystal Energy,Doreen Virtue
27811,Religio Medici & Urne-Buriall,Thomas Browne
27812,When Helping Hurts: How to Alleviate Poverty without Hurting the Poor...and Yourself,Steve Corbett
27813,Sacred Texts of the World,Grant Hardy
27814,Stealing from God: Why Atheists Need God to Make Their Case,Frank Turek
27815,Return to Sodom & Gomorrah,Charles Pellegrino
27816,To Live Again,Catherine Marshall
27817,"Fasting: Opening the Door to a Deeper, More Intimate, More Powerful Relationship With God",Jentezen Franklin
27818,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett
27819,Guard Your Tongue: A Practical Guide to the Laws of Loshon Hora (Gossip and Slander),Zelig Pliskin
27820,Crossing the Threshold of Hope,Pope John Paul II
27821,Rehat Bersama Kyai Kocak: Kyai Kocak vs Liberal Ronde #2,Abdul Mutaqin
27822,Far as the Curse Is Found: The Covenant Story of Redemption,Michael D. Williams
27823,Jack: A Life of C. S. Lewis,George Sayer
27824,Der Judenstaat,Theodor Herzl
27825,A Popular Survey of the Old Testament,Norman L. Geisler
27826,The Spell of the Sensuous: Perception and Language in a More-Than-Human World,David Abram
27827,The Message: The New Testament in Contemporary Language,Eugene H. Peterson
27828,Rehat Bersama Kyai Kocak: Kyai Kocak vs Liberal,Abdul Mutaqin
27829,Zen Buddhism: Selected Writings of D. T. Suzuki,D.T. Suzuki
27830,Doubt: A History,Jennifer Michael Hecht
27831,Islam In The World,Malise Ruthven
27832,The Call,Rick Joyner
27833,Answering Islam: The Crescent in Light of the Cross,Norman L. Geisler
27834,"The Gospel According to Jesus: What Does Jesus Mean When He Says ""Follow Me""?",John F. MacArthur Jr.
27835,Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,Joanna Weaver
27836,Something More : In Search of a Deeper Faith,Catherine Marshall
27837,The Baptist Confession of Faith and The Baptist Catechism,James M. Renihan
27838,Feminine Appeal: Seven Virtues of a Godly Wife and Mother,Carolyn Mahaney
27839,Homeschooling with a Meek and Quiet Spirit,Teri Maxwell
27840,"Myths, Dreams and Mysteries: The Encounter Between Contemporary Faiths and Archaic Realities",Mircea Eliade
27841,"Not Paul, But Jesus",Jeremy Bentham
27842,When I Don't Desire God: How to Fight for Joy,John Piper
27843,The Healing Light,Agnes Sanford
27844,The Torch and the Sword,Rick Joyner
27845,Light on the Yoga Sutras of Patanjali,B.K.S. Iyengar
27846,Dictionary of Symbolism: Culture Icons and the Meanings Behind Them,Hans Biedermann
27847,"If God, Why Evil?: A New Way to Think about the Question",Norman L. Geisler
27848,The Gospel According to the Apostles: The Role of Works in a Life of Faith,John F. MacArthur Jr.
27849,Desert Wisdom: Sayings from the Desert Fathers,Yushi Nomura
27850,The Prayers of Peter Marshall,Catherine Marshall
27851,God is Just: A Defense of the Old Testament Civil Laws,Steve C. Halbrook
27852,The Stoning of Soraya M.,Freidoune Sahebjam
27853,Before You Meet Prince Charming: A Guide to Radiant Purity,Sarah Mally
27854,Preparing Sons to Provide for a Single-Income Family,Steven Maxwell
27855,God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon
27856,The Parables of Jesus,John F. MacArthur Jr.
27857,Works of Love,SÃ¸ren Kierkegaard
27858,Atheism: The Case Against God,George H. Smith
27859,Beyond Our Selves,Catherine Marshall
27860,"Raising Real Men: Surviving, Teaching and Appreciating Boys",Hal Young
27861,The Ending of Time,Jiddu Krishnamurti
27862,The Essential C.S. Lewis,C.S. Lewis
27863,50 Reasons People Give for Believing in a God,Guy P. Harrison
27864,Prayers from a NonBeliever,Julia Cameron
27865,The Cloud of Unknowing,Anonymous
27866,On the Reliability of the Old Testament,Kenneth A. Kitchen
27867,Educating the Wholehearted Child,Clay Clarkson
27868,Japanese Mythology A to Z,Jeremy Roberts
27869,"Twelve Extraordinary Women: How God Shaped Women of the Bible, and What He Wants to Do with You",John F. MacArthur Jr.
27870,God's Guest List: Welcoming Those Who Influence Our Lives,Debbie Macomber
27871,The House of Wisdom: How Arabic Science Saved Ancient Knowledge and Gave Us the Renaissance,Jim Al-Khalili
27872,Ever Increasing Faith,Smith Wigglesworth
27873,The Impossible Question,Jiddu Krishnamurti
27874,The Bible Unfiltered: Approaching Scripture on Its Own Terms,Michael S. Heiser
27875,Angels: God's Secret Agents,Billy Graham
27876,The Sacred and the Profane: The Nature of Religion,Mircea Eliade
27877,Sailing the Wine-Dark Sea: Why the Greeks Matter,Thomas Cahill
27878,Popol Vuh,Anonymous
27879,"Jesus: Uncovering the Life, Teachings, and Relevance of a Religious Revolutionary",Marcus J. Borg
27880,Awkward Moments (not found in your average) Children's Bible - Vol. 1,Horus Gilgamesh
27881,True Spirituality: How to Live for Jesus Moment by Moment,Francis A. Schaeffer
27882,"Crusade Against the Grail: The Struggle between the Cathars, the Templars, and the Church of Rome",Otto Rahn
27883,I Dare You Not to Bore Me with the Bible,Michael S. Heiser
27884,Christian Caregiving: A Way of Life,Kenneth C. Haugk
27885,The Way of the Sufi,Idries Shah
27886,Violence and the Sacred,RenÃ© Girard
27887,A Shepherd Looks at Psalm 23,W. Phillip Keller
27888,Umar Bin Abdul Aziz,Darussalam
27889,Stories from the Life of Joseph Smith,Richard E. Turley Jr.
27890,Soul Survivor: How Thirteen Unlikely Mentors Helped My Faith Survive the Church,Philip Yancey
27891,The Magic Monastery: Analogical and Action Philosophy of the Middle East and Central Asia,Idries Shah
27892,The Life and Diary of David Brainerd,David Brainerd
27893,Healing with the Medicine of the Prophet (PBUH),Ibn Qayyim al-Jawziyya
27894,Introduction to Tantra: The Transformation of Desire,Thubten Yeshe
27895,The Great Code: The Bible and Literature,Northrop Frye
27896,The Witch's Eight Paths of Power: A Complete Course in Magick and Witchcraft,Sable Aradia
27897,Seth Speaks: The Eternal Validity of the Soul,Jane Roberts
27898,The Slumber of Christianity: Awakening a Passion for Heaven on Earth,Ted Dekker
27899,The Monk and the Philosopher: A Father and Son Discuss the Meaning of Life,Jean-FranÃ§ois Revel
27900,"Reversing Hermon: Enoch, the Watchers, and the Forgotten Mission of Jesus Christ",Michael S. Heiser
27901,Trustful Surrender to Divine Providence: The Secret of Peace and Happiness,Jean Baptiste Saint-Jure
27902,The Commanding Self,Idries Shah
27903,The Mystical City of God (4 Volume Set),Mary of Agreda
27904,Praise Her in the Gates,Nancy   Wilson
27905,A Woman Rides the Beast,Dave Hunt
27906,Golden Stories of Umar Ibn Al-Khatab,Abdul Malik Mujahid
27907,The Art of Living: Vipassana Meditation: As Taught by S. N. Goenka,William Hart
27908,Supernatural: What the Bible Teaches about the Unseen World - And Why It Matters,Michael S. Heiser
27909,The Book of Chuang Tzu,Zhuangzi
27910,Caravan of Dreams,Idries Shah
27911,Girl Meets God,Lauren F. Winner
27912,History of Makkah,Safiur Rahman Mubarakpuri
27913,Book of the Hopi,Frank Waters
27914,The Weight of Glory,C.S. Lewis
27915,Ecology and Liberation: A New Paradigm (Ecology & Justice Series),Leonardo Boff
27916,Learning How to Learn: Psychology and Spirituality in the Sufi Way,Idries Shah
27917,An Introduction to the Old Testament,Tremper Longman III
27918,The Complex Infrastructure Known as the Female Mind: According to Relient K,Relient K
27919,The Cloud of Unknowing and The Book of Privy Counseling,Anonymous
27920,The Word of Promise Complete Audio Bible: NKJV,Anonymous
27921,Beautiful Girlhood,Karen Andreola
27922,Wisdom of the Idiots,Idries Shah
27923,How to Read the Psalms,Tremper Longman III
27924,Dispensationalism,Charles C. Ryrie
27925,Islamic medicine,Yusuf Al-Hajj Ahmad
27926,Irreligion: A Mathematician Explains Why the Arguments for God Just Don't Add Up,John Allen Paulos
27927,How to Read Proverbs,Tremper Longman III
27928,"Vatican Council II: Constitutions, Decrees, Declarations",Second Vatican Council
27929,River Out of Eden: A Darwinian View of Life,Richard Dawkins
27930,The Reign of Grace: The Delights and Demands of God's Love,Scotty Smith
27931,"The Lost World of the Flood: Mythology, Theology, and the Deluge Debate",Tremper Longman III
27932,Wholeness and the Implicate Order,David Bohm
27933,The Price We Paid: The Extraordinary Story of the Willie and Martin Handcart Pioneers,Andrew D. Olsen
27934,How To Read Genesis,Tremper Longman III
27935,Telling Secrets,Frederick Buechner
27936,Sumerian Mythology,Samuel Noah Kramer
27937,Desire of the Everlasting Hills: The World Before and After Jesus,Thomas Cahill
27938,Shinto: The Kami Way,Sokyo Ono
27939,Onward: Engaging the Culture without Losing the Gospel,Russell D. Moore
27940,"God, Freedom, and Evil",Alvin Plantinga
27941,Process Theology,John B. Cobb Jr.
27942,Thinkers of the East,Idries Shah
27943,"Mysteries of the Middle Ages: The Rise of Feminism, Science and Art from the Cults of Catholic Europe",Thomas Cahill
27944,"Where the Conflict Really Lies: Science, Religion, and Naturalism",Alvin Plantinga
27945,The Gifts of the Jews: How a Tribe of Desert Nomads Changed the Way Everyone Thinks and Feels,Thomas Cahill
27946,The Unseen Realm,Michael S. Heiser
27947,One Blood: The Biblical Answer to Racism,Ken Ham
27948,Found: God's Will,John F. MacArthur Jr.
27949,The Lost World of the Torah: Law as Covenant and Wisdom in Ancient Context,John H. Walton
27950,Gaia and God: An Ecofeminist Theology of Earth Healing,Rosemary Radford Ruether
27951,God's Problem: How the Bible Fails to Answer Our Most Important Question - Why We Suffer,Bart D. Ehrman
27952,Knowing How to Know: A Practical Philosophy in the Sufi Tradition,Idries Shah
27953,The White Goddess: A Historical Grammar of Poetic Myth,Robert Graves
27954,The Duck Commander Devotional,Al Robertson
27955,The Apostle: A Life of Paul,John Charles Pollock
27956,"The Lost World of the Israelite Conquest: Covenant, Retribution, and the Fate of the Canaanites",John H. Walton
27957,A History of Pagan Europe,Prudence J. Jones
27958,The Occult,Colin Wilson
27959,The Lost World of Scripture: Ancient Literary Culture and Biblical Authority,John H. Walton
27960,Man Is Not Alone: A Philosophy of Religion,Abraham Joshua Heschel
27961,The Mystery of God's Will: What Does He Want For Me?,Charles R. Swindoll
27962,A Brief History of the Druids,Peter Berresford Ellis
27963,Shattered Dreams: God's Unexpected Pathway to Joy,Larry Crabb
27964,DMT: La molecula del espiritu,Rick Strassman
27965,Ancient Near Eastern Thought and the Old Testament: Introducing the Conceptual World of the Hebrew Bible,John H. Walton
27966,The Tibetan Book of the Dead,Padmasambhava
27967,Early Days,Ibn Kathir
27968,Nailed: Ten Christian Myths That Show Jesus Never Existed at All,David  Fitzgerald
27969,The Lost World of Genesis One: Ancient Cosmology and the Origins Debate,John H. Walton
27970,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway
27971,Every Bitter Thing Is Sweet: Tasting the Goodness of God in All Things,Sara Hagerty
27972,Making Sense of the New Testament,Craig L. Blomberg
27973,My Family and Other Saints,Kirin Narayan
27974,The Holographic Universe,Michael Talbot
27975,The Historical Reliability of the New Testament: Countering the Challenges to Evangelical Christian Beliefs,Craig L. Blomberg
27976,"TechGnosis: Myth, Magic  Mysticism in the Age of Information",Erik Davis
27977,The Life of St. Dominic,Augusta Theodosia Drane
27978,On the Mountain Peak,ÙØ­ÙØ¯ Ø¹Ø¨Ø¯Ø§ÙØ±Ø­ÙÙ Ø§ÙØ¹Ø±ÙÙÙ
27979,The Perennial Philosophy,Aldous Huxley
27980,The World's Last Night: And Other Essays,C.S. Lewis
27981,The Ultimate Treasure Hunt: A Guide to Supernatural Evangelism Through Supernatural Encounters,Kevin Dedmon
27982,The Historical Reliability of the Gospels,Craig L. Blomberg
27983,Holy Envy: Finding God in the Faith of Others,Barbara Brown Taylor
27984,A Chance to Die: The Life and Legacy of Amy Carmichael,Elisabeth Elliot
27985,Bread and Wine: A Love Letter to Life Around the Table with Recipes,Shauna Niequist
27986,Jesus Always: Embracing Joy in His Presence,Sarah  Young
27987,Jesus and the Gospels,Craig L. Blomberg
27988,"The Wakeful World: Animism, Mind and the Self in Nature",Emma Restall Orr
27989,Cosmic Trigger: Die letzten Geheimnisse der Illuminaten oder An den Grenzen des erweiterten Bewusstseins,Robert Anton Wilson
27990,"Cows, Pigs, Wars, and Witches: The Riddles of Culture",Marvin Harris
27991,The Autobiography of George Muller,George MÃ¼ller
27992,A Year with C. S. Lewis: Daily Readings from His Classic Works,C.S. Lewis
27993,A Treatise on Hijab,ÙØ­ÙØ¯ Ø¨Ù ØµØ§ÙØ­ Ø§ÙØ¹Ø«ÙÙÙÙ
27994,"Fallacy of Fine-Tuning, The: Why the Universe Is Not Designed for Us",Victor J. Stenger
27995,"Determined to Believe: The Sovereignty of God, Freedom, Faith and Human Responsibility",John C. Lennox
27996,Wandering on the Way: Early Taoist Tales and Parables of Chuang Tzu,Zhuangzi
27997,Tender Warrior: God's Intention for a Man,Stuart K. Weber
27998,Can Science Explain Everything?,John C. Lennox
27999,Papers and Journals,SÃ¸ren Kierkegaard
28000,A Perfumed Scorpion,Idries Shah
28001,Gunning for God: A Critique of the New Atheism,John C. Lennox
28002,What Went Wrong? The Clash Between Islam & Modernity in the Middle East,Bernard Lewis
28003,C.S. Lewis Signature Classics,C.S. Lewis
28004,The Life of St. Gemma Galgani,Germanus Ruoppolo
28005,God and Stephen Hawking: Whose Design Is It Anyway?,John C. Lennox
28006,Where Is God When It Hurts?,Philip Yancey
28007,"The Question of God: C.S. Lewis and Sigmund Freud Debate God, Love, Sex, and the Meaning of Life",Armand M. Nicholi Jr.
28008,Religious Affections,Jonathan Edwards
28009,Beyond Opinion: Living the Faith We Defend,Ravi Zacharias
28010,Conscious Evolution: Awakening the Power of Our Social Potential,Barbara Marx Hubbard
28011,"Lord, Change Me!",Evelyn Christenson
28012,Strategies of Prophet Muhammad,Omar KhayyÃ¡m
28013,Die Reise Der Seele,Marie Metrailler
28014,Seven Days That Divide The World: The Beginning According To Genesis & Science,John C. Lennox
28015,Cutting Through Spiritual Materialism (Shambhala Dragon Editions),ChÃ¶gyam Trungpa
28016,The Sheikh's Batmobile: In Pursuit of American Pop Culture in the Muslim World,Richard Poplak
28017,C.S. Lewis: A Biography,A.N. Wilson
28018,What I Believe,Bertrand Russell
28019,Interpretation of Dreams,Omar KhayyÃ¡m
28020,Deliver Us From Evil: Restoring the Soul in a Disintergrating Culture,Ravi Zacharias
28021,Who Made God?: And Answers to Over 100 Other Tough Questions of Faith,Ravi Zacharias
28022,An Altar in the World: A Geography of Faith,Barbara Brown Taylor
28023,Coincidance: A Head Test,Robert Anton Wilson
28024,Why Jesus?: Rediscovering His Truth in an Age of  Mass Marketed Spirituality,Ravi Zacharias
28025,The Great Awakening: A Buddhist Social Theory,David R. Loy
28026,The Sacred Canopy: Elements of a Sociological Theory of Religion,Peter L. Berger
28027,Reflections,Idries Shah
28028,Waking the Buddha: How the Most Dynamic and Empowering Buddhist Movement in History Is Changing Our Concept of Religion,Clark Strand
28029,The End of Reason: A Response to the New Atheists,Ravi Zacharias
28030,The Phenomenon of Man,Pierre Teilhard de Chardin
28031,The Grand Weaver: How God Shapes Us Through the Events of Our Lives,Ravi Zacharias
28032,Wisdom Distilled from the Daily: Living the Rule of St. Benedict Today,Joan D. Chittister
28033,Theology and Sanity,Frank Sheed
28034,The Idolatry of God,Peter Rollins
28035,The Enemy,Christopher Hitchens
28036,Wanderings,Chaim Potok
28037,Chasing the Dragon: One Woman's Struggle Against the Darkness of Hong Kong's Drug Den,Jackie Pullinger
28038,Theology for Beginners,Frank Sheed
28039,"Barbarians: How The Baby Boomers, Immigration, and Islam Screwed my Generation",Lauren Southern
28040,The Rational Bible: Genesis,Dennis Prager
28041,Spiritual Capital: Wealth We Can Live by,Danah Zohar
28042,What Do You Do With a Chocolate Jesus?: An Irreverent History of Christianity,Thomas     Quinn
28043,The Rational Bible: Exodus,Dennis Prager
28044,The Same Sex Controversy: Defending and Clarifying the Bible's Message about Homosexuality,James R. White
28045,The Devil in Dover: An Insider's Story of Dogma v. Darwin in Small-Town America,Lauri Lebo
28046,And the Bride Wore White: Seven Secrets to Sexual Purity,Dannah Gresh
28047,The Power of Parable: How Fiction by Jesus Became Fiction about Jesus,John Dominic Crossan
28048,Right From Wrong,Josh McDowell
28049,The Crucible of Doubt: Reflections On the Quest for Faith,Terryl L. Givens
28050,The Forgotten Trinity: Recovering the Heart of Christian Belief,James R. White
28051,The Meaning of Jesus,Marcus J. Borg
28052,The King James Only Controversy: Can You Trust the Modern Translations?,James R. White
28053,"Plants of the Gods: Their Sacred, Healing, and Hallucinogenic Powers",Richard Evans Schultes
28054,What Every Christian Needs to Know about the Qur'an,James R. White
28055,Spiritual Formation: Following the Movements of the Spirit,Henri J.M. Nouwen
28056,The Living Bible,Anonymous
28057,A Little Book of Coincidence in the Solar System,John Martineau
28058,The New Evidence That Demands a Verdict,Josh McDowell
28059,Zen Buddhism and Psychoanalysis,Erich Fromm
28060,"Scripture Alone: Exploring the Bible's Accuracy, Authority, and Authenticity",James R. White
28061,The Roman Catholic Controversy,James R. White
28062,Fabricating Jesus: How Modern Scholars Distort the Gospels,Craig A. Evans
28063,True Hallucinations,Terence McKenna
28064,"Jesus, the Final Days: What Really Happened",Craig A. Evans
28065,Jesus and His World: The Archaeological Evidence,Craig A. Evans
28066,Breaking the Da Vinci Code: Answers to the Questions Everyone's Asking,Darrell L. Bock
28067,Zen in the Art of Archery,Eugen Herrigel
28068,Divine Horsemen: The Living Gods of Haiti,Maya Deren
28069,Dethroning Jesus: Exposing Popular Culture's Quest to Unseat the Biblical Christ,Darrell L. Bock
28070,Studying the Historical Jesus: A Guide to Sources and Methods,Darrell L. Bock
28071,The Complete Artscroll Siddur,Nosson Scherman
28072,Buddhist Economics: An Enlightened Approach to the Dismal Science,Clair Brown
28073,The Missing Gospels: Unearthing the Truth Behind Alternative Christianities,Darrell L. Bock
28074,Reinventing Jesus: How Contemporary Skeptics Miss the Real Jesus and Mislead Popular Culture,J. Ed Komoszewski
28075,Who Is Jesus?: Linking the Historical Jesus with the Christ of Faith,Darrell L. Bock
28076,Putting Jesus in His Place: The Case for the Deity of Christ,Robert M. Bowman Jr.
28077,Seventy-Eight Degrees of Wisdom: A Book of Tarot,Rachel Pollack
28078,The Story Of Painting,Wendy Beckett
28079,Nomad: A Year In the Life of a Qashqa'i Tribesman in Iran,Lois Beck
28080,Is God a Moral Monster?: Making Sense of the Old Testament God,Paul Copan
28081,"Jews, God, and History",Max I. Dimont
28082,Contending with Christianity's Critics: Answering New Atheists and Other Objectors,Paul Copan
28083,Amazing Grace: A Vocabulary of Faith,Kathleen Norris
28084,Did God Really Command Genocide?: Coming to Terms with the Justice of God,Paul Copan
28085,Insight: Case Files from the Psychic World,Sylvia Browne
28086,The Prophet,Kahlil Gibran
28087,Tao Te Ching,Lao Tzu
28088,The Moral Landscape: How Science Can Determine Human Values,Sam Harris
28089,The God Delusion,Richard Dawkins
28090,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.
28091,The Power of Myth,Joseph Campbell
28092,Holy Bible: King James Version,Anonymous
28093,Holy Bible: New International Version,Anonymous
28094,The Bhagavad Gita,Anonymous
28095,Mere Christianity,C.S. Lewis
28096,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo
28097,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan
28098,Run Baby Run,Nicky Cruz
28099,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens
28100,Confessions,Augustine of Hippo
28101,Autobiography of a Yogi,Paramahansa Yogananda
28102,"The Holy Bible: New American Standard Version, NASB",Anonymous
28103,Have a Little Faith: a True Story,Mitch Albom
28104,The Hero With a Thousand Faces,Joseph Campbell
28105,Believing Christ: The Parable of the Bicycle and Other Good News,Stephen E. Robinson
28106,Lectures on Faith,Joseph Smith Jr.
28107,ESV Study Bible,Anonymous
28108,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller
28109,The Cost of Discipleship,Dietrich Bonhoeffer
28110,Holy Bible: The New King James Version,Anonymous
28111,The Case for Christ,Lee Strobel
28112,My Utmost for His Highest,Oswald Chambers
28113,The Essential Rumi,Rumi
28114,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris
28115,Orthodoxy,G.K. Chesterton
28116,Jesus the Christ,James E. Talmage
28117,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins
28118,The New Oxford Annotated Bible: New Revised Standard Version,Anonymous
28119,The Imitation of Christ,Thomas Ã  Kempis
28120,The Holy Bible: English Standard Version,Anonymous
28121,Kisses from Katie,Katie      Davis
28122,The Anti-Christ,Friedrich Nietzsche
28123,The Practice of the Presence of God,Brother Lawrence
28124,Tao of Pooh and Te of Piglet Boxed Set,Benjamin Hoff
28125,Crazy Love: Overwhelmed by a Relentless God,Francis Chan
28126,I Kissed Dating Goodbye: A New Attitude Toward Relationships and Romance,Joshua Harris
28127,The Grand Design,Stephen Hawking
28128,The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos CastaÃ±eda
28129,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong
28130,Under the Banner of Heaven,Jon Krakauer
28131,The Seven Storey Mountain,Thomas Merton
28132,The Problem of Pain,C.S. Lewis
28133,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs
28134,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,James L. Ferrell
28135,Story of a Soul: The Autobiography of St. Therese of Lisieux,ThÃ©rÃ¨se de Lisieux
28136,Holy Bible: New Living Translation,Anonymous
28137,The Tibetan Book of Living and Dying,Sogyal Rinpoche
28138,Knowing God,J.I. Packer
28139,Surprised by Joy: The Shape of My Early Life,C.S. Lewis
28140,A Love Story How God Pursued Me and Found Me: An Impossibly True Story,Samantha Ryan Chandler
28141,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Bertrand Russell
28142,Traveling Mercies: Some Thoughts on Faith,Anne Lamott
28143,"Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks",D.C. Talk
28144,Pathways to Bliss: Mythology and Personal Transformation,Joseph Campbell
28145,Thou Art That: Transforming Religious Metaphor,Joseph Campbell
28146,90 Minutes in Heaven: A True Story of Death and Life,Don Piper
28147,The Future of an Illusion,Sigmund Freud
28148,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins
28149,The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan
28150,Hymns of The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints
28151,The Sunflower: On the Possibilities and Limits of Forgiveness,Simon Wiesenthal
28152,The Love Poems of Rumi,Rumi
28153,Life on the Other Side: A Psychic's Tour of the Afterlife,Sylvia Browne
28154,The Varieties of Religious Experience,William  James
28155,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander
28156,The Flight of the Feathered Serpent,Armando Cosani
28157,Either/Or: A Fragment of Life,SÃ¸ren Kierkegaard
28158,The Four Loves,C.S. Lewis
28159,Study Bible: NIV,Anonymous
28160,The Doctrine and Covenants of the Church of Jesus Christ of Latter-Day Saints,The Church of Jesus Christ of Latter-day Saints
28161,The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,Lee Strobel
28162,The Sufis,Idries Shah
28163,Catechism of the Catholic Church,Pope John Paul II
28164,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett
28165,The Consolation of Philosophy,Boethius
28166,The Muqaddimah: An Introduction to History,Ibn Khaldun
28167,"A Severe Mercy: A Story of Faith, Tragedy and Triumph",Sheldon Vanauken
28168,Fear and Trembling,SÃ¸ren Kierkegaard
28169,"Summa Theologica, 5 Vols",Thomas Aquinas
28170,The Kingdom of God Is Within You,Leo Tolstoy
28171,Beelzebub's Tales to His Grandson,G.I. Gurdjieff
28172,"Holy Blood, Holy Grail",Michael Baigent
28173,The Upanishads,Anonymous
28174,The Golden Bough,James George Frazer
28175,The Satanic Bible,Anton Szandor LaVey
28176,The Pursuit of Holiness,Jerry Bridges
28177,"Morning and Evening, Based on the English Standard Version",Charles Haddon Spurgeon
28178,The Protestant Ethic and the Spirit of Capitalism,Max Weber
28179,Twilight of the Idols/The Anti-Christ,Friedrich Nietzsche
28180,Celebrating Silence: Excerpts from Five Years of Weekly Knowledge 1995-2000,Sri Sri Ravi Shankar
28181,The Red Book: Liber Novus,C.G. Jung
28182,A Grief Observed,C.S. Lewis
28183,Holy Bible: Revised Standard Version,Anonymous
28184,Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge
28185,The Cross and the Switchblade,David Wilkerson
28186,The Knowledge of the Holy,A.W. Tozer
28187,The Dhammapada,Anonymous
28188,Father Elijah: An Apocalypse,Michael D. O'Brien
28189,The Divine Conspiracy: Rediscovering Our Hidden Life in God,Dallas Willard
28190,Passion and Purity: Learning to Bring Your Love Life Under Christ's Control,Elisabeth Elliot
28191,My Country 'Tis of Thee,Keith Ellison
28192,The Science of Mind,Ernest Shurtleff Holmes
28193,Oh Dear Happiness! The lost treasure of contentment,Sanjay Singh
28194,Holy the Firm,Annie Dillard
28195,"The Ignatius Bible: Revised Standard Version, Second Catholic Edition",Anonymous
28196,The Torah: The Five Books of Moses,Anonymous
